iter	Logloss
0	0.6877610841
1	0.6871908174
2	0.6862970178
3	0.6836620557
4	0.680928131
5	0.680841212
6	0.6745308987
7	0.6744064173
8	0.6733702769
9	0.6723557924
10	0.6721497406
11	0.6700884415
12	0.6655526736
13	0.6654726408
14	0.6650183328
15	0.6625427877
16	0.662338905
17	0.6591925107
18	0.6588368318
19	0.6585149899
20	0.6585116909
21	0.6576126127
22	0.6558227899
23	0.6558208407
24	0.6555315872
25	0.6547012255
26	0.6520918202
27	0.6520098323
28	0.6504984725
29	0.6490369048
30	0.6488560731
31	0.6488376301
32	0.6483385997
33	0.6468362422
34	0.6462323177
35	0.6462323102
36	0.6452939989
37	0.6429860534
38	0.641720387
39	0.6417203781
40	0.6409706379
41	0.6404618153
42	0.6385580229
43	0.6373495949
44	0.6373303922
45	0.6364794296
46	0.6353983915
47	0.6328070644
48	0.63103255
49	0.6286400523
50	0.6259014742
51	0.622660577
52	0.6177791353
53	0.6175638492
54	0.6170484975
55	0.6170078209
56	0.6126033554
57	0.6126033506
58	0.6102330022
59	0.6102329997
60	0.610228103
61	0.6094352759
62	0.6071508148
63	0.6036614841
64	0.6026305827
65	0.6022053895
66	0.6022053869
67	0.6020280037
68	0.6019806423
69	0.6007823134
70	0.5989750938
71	0.5954864273
72	0.5936767676
73	0.5895281191
74	0.5884967064
75	0.5867471697
76	0.5836586705
77	0.5760358405
78	0.5751225034
79	0.573406461
80	0.5720696135
81	0.5684847155
82	0.5658019667
83	0.5637520627
84	0.5612299179
85	0.558307569
86	0.5555115185
87	0.554731703
88	0.5525561961
89	0.5502289261
90	0.5481238168
91	0.543892359
92	0.5419721439
93	0.540608965
94	0.5358526838
95	0.5327304922
96	0.5316323045
97	0.5300699731
98	0.5296389032
99	0.5270834557
100	0.5245163714
101	0.52368949
102	0.5189276575
103	0.5161862466
104	0.5139604831
105	0.5135991818
106	0.5117438754
107	0.5065071979
108	0.5053991318
109	0.5029560837
110	0.501852473
111	0.4982140074
112	0.4973550117
113	0.4962913639
114	0.494518923
115	0.4924612754
116	0.4906979797
117	0.4896282259
118	0.4886815491
119	0.4871307722
120	0.4857025278
121	0.484888655
122	0.483868219
123	0.4819091051
124	0.4803663146
125	0.4784762151
126	0.477458555
127	0.4760381593
128	0.4734278881
129	0.4709175024
130	0.470016924
131	0.4685952224
132	0.4675009437
133	0.4668218943
134	0.4646463088
135	0.4624408529
136	0.4615708099
137	0.4590693898
138	0.4569440271
139	0.4551279031
140	0.4534708828
141	0.4518288837
142	0.4500251104
143	0.448588164
144	0.4461601885
145	0.4457200139
146	0.4453884124
147	0.4446089902
148	0.4442683714
149	0.4440914066
150	0.4439003626
151	0.4425293168
152	0.4422517656
153	0.4407034816
154	0.439473054
155	0.4383338955
156	0.4366872139
157	0.4349448467
158	0.4339142284
159	0.4329783555
160	0.4314593851
161	0.4293249409
162	0.4278899177
163	0.4268486027
164	0.4256989769
165	0.4248730672
166	0.4238622348
167	0.4227334556
168	0.4214921592
169	0.4212790478
170	0.4207497898
171	0.418491427
172	0.4159832183
173	0.4153097313
174	0.4131803632
175	0.4123664962
176	0.4111743192
177	0.4096730675
178	0.4068909068
179	0.4064363116
180	0.4037949547
181	0.4020670109
182	0.4002985979
183	0.3975391586
184	0.3968380593
185	0.3964894277
186	0.3957521813
187	0.3945730716
188	0.3932901541
189	0.3928345793
190	0.3916353238
191	0.3909714473
192	0.3900076127
