iter	Passed	Remaining
0	55	55285
1	58	29029
2	63	21144
3	70	17457
4	75	14944
5	78	13054
6	85	12198
7	91	11315
8	96	10672
9	102	10123
10	105	9497
11	112	9235
12	117	8917
13	121	8540
14	125	8272
15	130	8013
16	133	7730
17	137	7503
18	139	7203
19	141	6948
20	143	6681
21	146	6490
22	148	6300
23	149	6067
24	151	5912
25	153	5760
26	156	5625
27	157	5464
28	159	5336
29	161	5214
30	162	5078
31	163	4952
32	165	4837
33	166	4724
34	167	4626
35	168	4511
36	169	4422
37	171	4337
38	172	4252
39	173	4156
40	174	4081
41	175	4002
42	176	3928
43	177	3858
44	178	3783
45	179	3718
46	180	3656
47	181	3598
48	182	3543
49	183	3489
50	184	3433
51	185	3381
52	186	3330
53	187	3281
54	188	3235
55	188	3183
56	189	3139
57	190	3091
58	191	3049
59	191	3003
60	192	2960
61	193	2926
62	194	2891
63	195	2855
64	196	2822
65	197	2789
66	197	2750
67	198	2717
68	198	2681
69	199	2652
70	200	2625
71	201	2597
72	202	2574
73	203	2546
74	204	2520
75	205	2495
76	206	2474
77	207	2451
78	208	2427
79	209	2406
80	210	2385
81	211	2365
82	212	2346
83	213	2326
84	214	2307
85	215	2292
86	216	2273
87	217	2252
88	218	2233
89	219	2216
90	220	2198
91	221	2185
92	222	2170
93	223	2154
94	224	2137
95	225	2121
96	226	2106
97	227	2093
98	228	2077
99	229	2065
100	230	2051
101	231	2038
102	232	2026
103	233	2014
104	234	2000
105	235	1987
106	236	1974
107	237	1961
108	238	1950
109	239	1937
110	240	1927
111	241	1917
112	242	1905
113	243	1894
114	244	1882
115	250	1907
116	251	1897
117	252	1887
118	253	1878
119	254	1868
120	255	1857
121	256	1847
122	258	1839
123	259	1830
124	260	1821
125	261	1813
126	262	1804
127	263	1795
128	264	1787
129	265	1777
130	266	1767
131	267	1759
132	268	1751
133	269	1742
134	270	1733
135	271	1724
136	272	1716
137	273	1708
138	274	1700
139	275	1691
140	276	1684
141	277	1676
142	278	1669
143	279	1661
144	280	1654
145	281	1646
146	282	1637
147	283	1630
148	284	1623
149	285	1619
150	286	1613
151	288	1606
152	288	1599
153	290	1593
154	291	1586
155	292	1580
156	293	1574
157	294	1567
158	295	1561
159	296	1555
160	297	1548
161	298	1542
162	299	1539
163	300	1534
164	302	1528
165	303	1522
166	303	1515
167	305	1510
168	306	1505
169	307	1499
170	308	1493
171	309	1488
172	310	1483
173	311	1477
174	312	1472
175	313	1467
176	314	1462
177	315	1457
178	316	1451
179	317	1446
180	318	1440
181	319	1436
182	320	1430
183	321	1425
184	322	1419
185	323	1414
186	324	1409
187	325	1405
188	326	1399
189	327	1394
190	328	1389
191	329	1384
192	330	1380
193	331	1375
194	332	1371
195	333	1366
196	333	1360
197	334	1356
198	336	1352
199	336	1347
200	337	1343
201	339	1339
202	340	1335
203	340	1330
204	341	1325
205	342	1321
206	343	1316
207	344	1312
208	345	1308
209	346	1305
210	347	1301
211	348	1296
212	350	1293
213	351	1290
214	352	1286
215	353	1282
216	354	1278
217	355	1274
218	356	1270
219	357	1266
220	358	1263
221	359	1258
222	360	1255
223	361	1251
224	362	1248
225	363	1245
226	364	1241
227	365	1237
228	366	1233
229	367	1230
230	368	1226
231	369	1223
232	370	1220
233	371	1216
234	372	1212
235	373	1210
236	374	1207
237	375	1203
238	376	1200
239	377	1196
240	378	1192
241	379	1188
242	380	1185
243	381	1182
244	382	1178
245	383	1175
246	384	1172
247	385	1168
248	386	1166
249	387	1163
250	388	1159
251	389	1156
252	390	1154
253	391	1150
254	392	1147
255	393	1144
256	394	1140
257	395	1136
258	396	1133
259	397	1130
260	398	1127
261	399	1124
262	400	1121
263	401	1118
264	402	1115
265	403	1113
266	404	1111
267	405	1107
268	406	1104
269	407	1101
270	408	1099
271	409	1096
272	411	1094
273	412	1091
274	413	1089
275	414	1087
276	415	1084
277	416	1081
278	417	1078
279	418	1075
280	419	1072
281	420	1070
282	421	1067
283	422	1064
284	423	1062
285	424	1059
286	425	1056
287	426	1053
288	427	1050
289	428	1048
290	429	1047
291	430	1043
292	431	1041
293	432	1038
294	433	1035
295	434	1032
296	435	1030
297	436	1028
298	437	1025
299	438	1023
300	439	1021
301	440	1018
302	441	1015
303	442	1013
304	443	1011
305	444	1008
306	446	1007
307	447	1005
308	448	1002
309	449	999
310	450	996
311	450	994
312	451	991
313	453	990
314	454	988
315	455	986
316	456	984
317	457	981
318	458	979
319	460	977
320	460	974
321	461	972
322	462	970
323	463	967
324	464	965
325	465	963
326	466	960
327	467	958
328	468	956
329	470	954
330	470	951
331	471	949
332	473	947
333	474	945
334	475	943
335	476	941
336	477	938
337	478	936
338	479	935
339	480	933
340	481	931
341	482	928
342	483	926
343	485	925
344	486	922
345	486	920
346	487	917
347	488	915
348	489	913
349	490	910
350	491	908
351	492	907
352	494	905
353	494	903
354	495	901
355	496	898
356	497	896
357	498	894
358	499	892
359	500	889
360	501	887
361	502	885
362	503	884
363	505	882
364	506	880
365	506	878
366	507	876
367	509	874
368	510	872
369	511	870
370	512	868
371	512	865
372	513	863
373	514	861
374	515	859
375	516	857
376	517	855
377	518	853
378	519	851
379	520	849
380	521	847
381	522	845
382	523	843
383	525	842
384	526	840
385	526	838
386	527	835
387	528	833
388	529	831
389	530	829
390	531	827
391	532	825
392	533	823
393	534	821
394	535	820
395	536	818
396	537	816
397	538	814
398	540	813
399	541	811
400	542	809
401	543	808
402	544	806
403	545	805
404	546	803
405	547	801
406	548	799
407	549	797
408	550	796
409	551	794
410	553	793
411	555	793
412	558	793
413	560	792
414	561	791
415	563	790
416	564	789
417	565	787
418	567	786
419	568	784
420	568	782
421	570	780
422	570	778
423	571	776
424	572	774
425	574	773
426	575	772
427	576	770
428	577	768
429	578	766
430	579	764
431	580	762
432	581	761
433	582	760
434	584	758
435	585	756
436	586	755
437	586	752
438	588	751
439	589	749
440	590	747
441	591	746
442	592	745
443	593	743
444	594	741
445	595	740
446	596	738
447	597	736
448	598	734
449	599	733
450	600	731
451	601	729
452	602	727
453	603	726
454	604	724
455	606	723
456	607	721
457	608	719
458	609	718
459	611	717
460	612	716
461	613	714
462	614	712
463	615	711
464	616	709
465	617	707
466	618	705
467	619	704
468	620	702
469	621	701
470	622	699
471	624	698
472	625	696
473	626	695
474	627	693
475	628	691
476	629	690
477	630	688
478	631	686
479	632	685
480	633	683
481	634	681
482	635	680
483	636	678
484	638	677
485	639	676
486	640	674
487	641	673
488	642	671
489	643	669
490	644	668
491	645	666
492	646	664
493	647	663
494	648	661
495	649	659
496	650	658
497	651	656
498	652	654
499	652	652
500	653	651
501	654	649
502	656	648
503	657	646
504	658	645
505	659	643
506	660	641
507	661	640
508	662	638
509	663	637
510	664	635
511	665	634
512	666	632
513	667	631
514	668	629
515	669	627
516	670	626
517	671	625
518	672	623
519	673	622
520	674	620
521	675	618
522	676	617
523	677	615
524	678	614
525	679	612
526	681	611
527	682	610
528	683	608
529	684	607
530	685	605
531	686	604
532	687	602
533	688	601
534	689	599
535	691	598
536	692	596
537	693	595
538	694	594
539	695	592
540	696	590
541	697	589
542	698	587
543	699	585
544	700	584
545	701	583
546	702	581
547	703	580
548	704	578
549	706	577
550	706	576
551	707	574
552	709	573
553	710	571
554	710	570
555	711	568
556	713	567
557	713	565
558	714	563
559	716	562
560	716	560
561	717	559
562	719	558
563	720	556
564	721	555
565	722	553
566	723	552
567	724	550
568	724	549
569	725	547
570	726	546
571	728	544
572	729	543
573	730	541
574	731	540
575	732	538
576	732	537
577	733	535
578	734	534
579	735	532
580	736	531
581	737	529
582	738	528
583	739	526
584	740	525
585	741	524
586	742	522
587	743	521
588	744	519
589	745	518
590	746	516
591	747	515
592	748	513
593	749	512
594	750	510
595	751	509
596	752	508
597	753	506
598	754	505
599	755	503
600	756	501
601	757	500
602	757	498
603	758	497
604	759	496
605	760	494
606	761	493
607	762	491
608	763	490
609	764	489
610	765	487
611	766	486
612	768	484
613	769	483
614	770	482
615	771	480
616	772	479
617	773	478
618	774	476
619	775	475
620	776	473
621	777	472
622	778	471
623	779	469
624	780	468
625	781	466
626	782	465
627	783	464
628	784	462
629	785	461
630	786	460
631	787	458
632	788	457
633	789	455
634	790	454
635	792	453
636	793	451
637	794	450
638	795	449
639	796	447
640	797	446
641	798	445
642	799	443
643	800	442
644	800	440
645	802	439
646	802	438
647	803	436
648	804	435
649	805	433
650	806	432
651	807	431
652	808	429
653	809	428
654	810	427
655	811	425
656	812	424
657	813	423
658	814	421
659	815	420
660	816	418
661	817	417
662	819	416
663	820	415
664	821	413
665	822	412
666	823	411
667	824	409
668	824	408
669	826	406
670	827	405
671	827	404
672	828	402
673	829	401
674	830	400
675	831	398
676	833	397
677	834	396
678	835	394
679	836	393
680	837	392
681	838	391
682	839	389
683	840	388
684	841	387
685	842	385
686	843	384
687	844	383
688	845	381
689	846	380
690	847	379
691	848	377
692	849	376
693	850	375
694	851	373
695	852	372
696	853	371
697	854	369
698	855	368
699	856	367
700	857	365
701	858	364
702	859	363
703	860	361
704	861	360
705	862	359
706	863	357
707	864	356
708	865	355
709	866	354
710	868	352
711	869	351
712	870	350
713	871	348
714	872	347
715	873	346
716	874	345
717	874	343
718	875	342
719	876	340
720	877	339
721	878	338
722	879	336
723	880	335
724	881	334
725	882	332
726	883	331
727	883	330
728	885	328
729	886	327
730	887	326
731	888	325
732	889	324
733	890	322
734	891	321
735	892	320
736	893	318
737	894	317
738	895	316
739	896	315
740	897	313
741	898	312
742	899	311
743	900	309
744	901	308
745	902	307
746	904	306
747	905	304
748	906	303
749	906	302
750	907	301
751	908	299
752	909	298
753	910	297
754	912	296
755	913	294
756	915	293
757	916	292
758	917	291
759	918	290
760	919	288
761	920	287
762	921	286
763	922	284
764	923	283
765	924	282
766	925	281
767	926	279
768	927	278
769	928	277
770	929	276
771	930	274
772	931	273
773	932	272
774	933	271
775	934	269
776	935	268
777	936	267
778	937	266
779	938	264
780	939	263
781	940	262
782	941	261
783	942	259
784	944	258
785	944	257
786	946	256
787	947	254
788	948	253
789	948	252
790	949	250
791	951	249
792	952	248
793	953	247
794	954	246
795	955	244
796	956	243
797	957	242
798	958	241
799	959	239
800	959	238
801	960	237
802	961	236
803	962	234
804	963	233
805	965	232
806	966	231
807	967	229
808	968	228
809	969	227
810	970	226
811	971	224
812	972	223
813	973	222
814	974	221
815	975	220
816	976	218
817	977	217
818	978	216
819	979	215
820	980	213
821	981	212
822	982	211
823	983	210
824	984	208
825	985	207
826	986	206
827	987	205
828	987	203
829	989	202
830	990	201
831	990	200
832	991	198
833	992	197
834	993	196
835	994	195
